cheep	A chirp, peep, or squeak, as of a young bird or mouse.
pitch	A throw; a toss; a cast, as of something from the hand; as, a good pitch in quoits.
piety	Veneration or reverence of the Supreme Being, and love of his character; loving obedience to the will of God, and earnest devotion to his service.
agger	An earthwork; a mound; a raised work.
bolus	A rounded mass of anything, esp. a large pill.
blood	The fluid which circulates in the principal vascular system of animals, carrying nourishment to all parts of the body, and bringing away waste products to be excreted. See under Arterial.
hansa	See 2d Hanse.
lepra	Leprosy.
reeve	The female of the ruff.
shoat	A young hog. Same as Shote.
ganil	A kind of brittle limestone.
ileus	A morbid condition due to intestinal obstruction.  It is characterized by complete constipation, with griping pains in the abdomen, which is greatly distended, and in the later stages by vomiting of fecal matter.  Called also ileac passion or iliac passion.
tyler	See 2d Tiler.
canto	One of the chief divisions of a long poem; a book.
fibre	Same as fiber.
house	A structure intended or used as a habitation or shelter for animals of any kind; but especially, a building or edifice for the habitation of man; a dwelling place, a mansion.
roper	A maker of ropes.
shole	See Shoal.
stere	Helmsman. See 6th Steer.
clamp	A heavy footstep; a tramp.
ceiba	a genus of tropical American trees with palmately compound leaves and showy bell-like flowers.
entry	The act of entering or passing into or upon; entrance; ingress; hence, beginnings or first attempts; as, the entry of a person into a house or city; the entry of a river into the sea; the entry of air into the blood; an entry upon an undertaking.
fytte	See Fit a song.
howdy	A midwife.
sneap	A reprimand; a rebuke.
sizel	Same as Scissel, 2.
fjord	See Fiord.
loups	The Pawnees, a tribe of North American Indians whose principal totem was the wolf.
style	An instrument used by the ancients in writing on tablets covered with wax, having one of its ends sharp, and the other blunt, and somewhat expanded, for the purpose of making erasures by smoothing the wax.
eurus	The east wind.
looch	See 2d Loch.
arsis	That elevation of voice now called metrical accentuation, or the rhythmic accent.
cheek	The side of the face below the eye.
lythe	The European pollack; -- called also laith, and leet.
oscan	The language of the Osci.
palpi	pl. of Palpus. (Zool.) See Palpus.
